caption,entity_1,entity_2,entity_3,image_name,index_1,index_2,index_3,id
"elegant bathroom with a toilet, sink, and mirror. ",mirror,toilet,sink,000000439241.jpg,10,5,7,212099
An orange cat laying on top of a laptop computer.,orange,cat,laptop,000000114968.jpg,2,3,9,387007
An old man is holding a dog and looking at a cake with a candle on it and an orange with flags stuck on it. ,orange,cake,dog,000000555909.jpg,20,12,7,448075
"A colorful kitchen with a sink, a fruit bowl and a soda bottle on the counter.",bottle,bowl,sink,000000223500.jpg,14,10,6,373395
a room with a desk and a cat in a chair ,chair,cat,desk,000000005643.jpg,11,8,5,658299
A man is sitting in a car holding a dog and reading a book.,dog,book,car,000000307993.jpg,10,14,7,51786
A bed sitting next to two dressers and a chair by a window.,chair,bed,window,000000284028.jpg,11,2,14,283306
"Restaurant table top with logo in middle and advertisements under glass, with utensils wrapped in paper napkin, plate with three alternatingly stacked slices of pizza on oval plate, bowl of salad with white dressing, beverage in cup, and two shakers.",cup,bowl,pizza,000000244425.jpg,45,36,31,781530
A pug dog with a pirates hat licking a bottle.,bottle,hat,dog,000000227093.jpg,10,7,3,282474
A two layer slice of carrot cake on  a plate,carrot,cake,plate,000000441199.jpg,6,7,10,164212
A person typing on their lap top keyboard while their cat rests besides them.,cat,person,keyboard,000000488964.jpg,11,2,8,121274
the dog is looking out  the car window. ,dog,window,car,000000214726.jpg,2,8,7,514811
A teddy bear with a polka dot bow tie sitting on a bed. ,tie,bed,bear,000000079762.jpg,9,13,3,743594
A black cat with demon bird eyes standing next to a bottle of wine.,bottle,cat,bird,000000055840.jpg,12,3,6,661389
A cat sprawled out on a couch with a remote on the arm,couch,cat,remote,000000378751.jpg,8,2,11,106538
A man sitting in a chair holding a laptop next to another man sitting in a chair by a window and a bottle.,bottle,laptop,window,000000409102.jpg,23,9,20,268331
a cat laying on a big couch watching tv,couch,cat,tv,000000537248.jpg,7,2,9,80516
Cat lying on back of couch looking out living room window.,couch,cat,window,000000260393.jpg,6,1,11,760221
A mouse and a curbed keyboard sitting next to a box.,bed,mouse,keyboard,000000466406.jpg,6,2,7,518309
Kitchen and refrigerator with various magnets on door and book shelves.,door,refrigerator,book,000000575228.jpg,8,3,10,326835
A dog with it's head inside a toilet bowl in the bathroom. ,bowl,toilet,dog,000000479134.jpg,10,9,2,763235
A bowl of vegetables next to a drink and plate of pizza,bowl,pizza,plate,000000270688.jpg,2,12,10,165284
Macaroni and cheese is covering a pizza with a small bowl of it on the plate.,bowl,pizza,plate,000000138310.jpg,11,7,16,459977
A colorful cat is laying near a keyboard on a desk.,cat,desk,keyboard,000000350481.jpg,3,11,8,600849
A suitcase and backpack are on the curb with a bus approaching.,backpack,suitcase,bus,000000559701.jpg,4,2,11,206778
A person holding a cat in their arms using a laptop.,cat,person,laptop,000000443509.jpg,5,2,11,776484
A dog sits in front of a napping cat on a small bed.,bed,cat,dog,000000526664.jpg,13,9,2,757105
a cat laying on a couch next to remote controls,couch,cat,remote,000000288560.jpg,6,2,9,702624
A bottle of wine is sitting in the window sill with a vase of flowers.,bottle,vase,window,000000169480.jpg,2,13,9,413295
 a bath room with a sink a mirror and a toilet,mirror,toilet,sink,000000541314.jpg,8,11,6,609546
a person sitting on a toilet with a laptop and talking on a cell phone,person,laptop,toilet,000000256550.jpg,2,9,6,160110
A pizza sitting on top of a white plate with a fork under it.,fork,pizza,plate,000000473604.jpg,12,2,9,606820
"Galley kitchen showing window, sink, refrigerator and stove.",refrigerator,sink,window,000000375382.jpg,8,6,4,413302
A laptop computer sits on a computer desk next to a mouse.,mouse,desk,laptop,000000385641.jpg,14,10,2,742797
A laptop cake sits on a wooden table by a window.,cake,laptop,window,000000087813.jpg,3,2,11,241281
Car mirror reflecting a group of people sitting on boat.,mirror,boat,car,000000021378.jpg,2,10,1,322733
Two glasses of juice next to a knife and cut up pieces of orange and apple.,orange,apple,knife,000000124135.jpg,14,16,8,391948
"A bathroom with a toilet, sink, mirror and towel rack.",mirror,toilet,sink,000000282283.jpg,9,5,7,690285
A yellow banana on top of a coffee cup in a microwave. ,cup,banana,microwave,000000326849.jpg,9,3,12,410204
"A keyboard, lamp, book and pen are on a desk.",desk,keyboard,book,000000173856.jpg,12,2,6,599754
"Sitting on the window ledge, a cat checks out a stuffed bird toy. ",cat,bird,window,000000379620.jpg,8,13,4,738990
"A bathroom has a toilet, sink, and mirror.",mirror,toilet,sink,000000192118.jpg,10,5,7,564116
Pizza is sitting on a paper plate next to a fork.,fork,pizza,plate,000000044830.jpg,11,1,7,646532
A bowl with a banana an apple and oranges,apple,bowl,banana,000000141741.jpg,7,2,5,244475
A person cuts a piece of cheese pizza with a fork.,fork,person,pizza,000000489879.jpg,11,2,8,161291
"a laptop, mouse and coffee cup and a mans  arm on another table ",cup,mouse,laptop,000000225352.jpg,7,4,2,615913
A person sitting on a chair on the sidewalk with an umbrella in front of them.,chair,person,umbrella,000000280554.jpg,6,2,12,568324
A picture of a modern bathroom with a glass door to the toilet and large glass mirror.,door,mirror,toilet,000000300034.jpg,10,17,13,685371
A bathroom that has a toilet sink and mirror in it.,mirror,toilet,sink,000000341011.jpg,9,6,7,544707
A simple computer disk and chair with a laptop and mouse on it.,chair,mouse,laptop,000000357870.jpg,7,12,10,31547
"A mouse, keyboard, and monitor on a desk ",mouse,desk,keyboard,000000304815.jpg,2,10,4,553110
A person sitting on a bench with a dog near them.,person,bench,dog,000000094769.jpg,2,6,9,811792
A orange and white cat laying on a computer mouse.,orange,cat,mouse,000000343552.jpg,2,5,11,440527
"A plate with corn, broccoli, and another food items with a knife. ",knife,broccoli,plate,000000323820.jpg,14,6,2,681288
A piece of carrot cake sits on a plate,carrot,cake,plate,000000528341.jpg,4,5,9,637084
An orange and white cat laying on a bed.,orange,bed,cat,000000401060.jpg,2,9,5,229898
A person with an open umbrella and a dog walking in the snow.,person,umbrella,dog,000000370610.jpg,2,6,9,820287
A grey dog lays on a bed looking out the window.,bed,dog,window,000000372460.jpg,7,3,11,356329
A cat sitting on a chair with a beer cozy and empty glass pie plate on top of it.,chair,cat,plate,000000303550.jpg,6,2,15,6591
A cat is sitting on top of the keyboard of a laptop.,cat,laptop,keyboard,000000572993.jpg,2,12,9,444939
A stuffed rabbit sitting on a desk in front of a book next to a carrot.,carrot,desk,book,000000128015.jpg,16,7,12,817347
Cat investigating keyboard of a powered on laptop.,cat,laptop,keyboard,000000320658.jpg,1,8,3,364357
A white plate topped with lots of broccoli and a metal spoon.,spoon,broccoli,plate,000000008062.jpg,12,8,3,771511
a dog tied to a park bench with a backpack,backpack,bench,dog,000000450160.jpg,10,7,2,223796
A person and a dog on a surfboard on the ocean.,person,surfboard,dog,000000248206.jpg,2,8,5,268858
Three small slices of cake on a white plate by a fork,fork,cake,plate,000000327183.jpg,12,5,9,18654
a dog looking out the window of a car,dog,window,car,000000540774.jpg,2,6,9,708821
A person has their feet up on a desk near a piece of pizza.,person,desk,pizza,000000359688.jpg,2,9,14,271750
"A bathroom with a sink, toilet, tub and a mirror. ",mirror,toilet,sink,000000206958.jpg,12,7,5,550040
a rear view window with a truck reflected in the mirror,mirror,truck,window,000000217846.jpg,11,7,4,374899
A woman sits on her couch and kisses her cat with a laptop in her lap ,couch,cat,laptop,000000060539.jpg,6,10,13,672013
A dirty bowl with a spoon sitting in a sink.,spoon,bowl,sink,000000580629.jpg,6,3,10,822221
"A small table containing an alarm clock, a TV/tape recorder/radio combination unit, a speaker, a remote control, and a clear container of coins.",tv,clock,remote,000000464330.jpg,10,7,23,655910
A brown and white dog hanging out the side of a car door window while driving past a white dog on the street.,door,window,car,000000287210.jpg,13,14,12,107284
A dog sitting beneath a wooden desk that has a computer monitor and keyboard as well as other items.,desk,keyboard,dog,000000035613.jpg,7,15,2,824538
"A plate with banana's, melon and orange slices on it.",orange,banana,plate,000000399887.jpg,9,4,2,605865
an orange and an apple are on a plate,orange,apple,plate,000000094514.jpg,2,5,9,799551
A toaster oven with two pots on top of it with a measuring cup next to it. ,cup,oven,toaster,000000481710.jpg,14,3,2,795959
A person aiming the remote at the tv.,person,tv,remote,000000389595.jpg,2,8,5,21712
Two adorable dogs hanging out of a car door window.,door,window,car,000000370210.jpg,9,10,8,27488
A very hot cup of coffee sitting in a microwave oven cooling. ,cup,oven,microwave,000000468422.jpg,4,11,10,434077
"A bathroom with a mirror, a white sink, and a white toilet.",mirror,toilet,sink,000000192118.jpg,5,14,9,562517
A cat is sitting on a desk next to a laptop computer.,cat,desk,laptop,000000222145.jpg,2,7,11,216658
"A bathroom with a sink, toilet and large mirror.",mirror,toilet,sink,000000436848.jpg,10,7,5,498308
A dog in helmet and sunglasses in a motorcycle sidecar.,motorcycle,dog,car,000000239985.jpg,9,2,11,18756
A sandwich sits on an orange plate near some fries.,orange,sandwich,plate,000000283445.jpg,6,2,7,423363
A bowl full of apples sitting next to a vase and a mirror.,vase,mirror,bowl,000000003742.jpg,10,13,2,538843
"a bathroom with a toilet, mirror, towels and a door",door,mirror,toilet,000000461650.jpg,12,7,5,537595
An elephant chained to a truck and a man on a motorcycle in a blue helmet watching. ,elephant,motorcycle,truck,000000159376.jpg,2,12,6,487986
A plate with a cake slices and a fork,fork,cake,plate,000000071838.jpg,9,5,2,266146
A cat is standing on the bed with a stuffed bear. ,bed,bear,cat,000000258305.jpg,7,11,2,454323
a person sticking a knife into a cake on the table ,person,cake,knife,000000297045.jpg,2,8,5,475543
A person asleep on his backpack while holding a laptop.,backpack,person,laptop,000000450840.jpg,6,2,10,302094
"A plate with pizza, broccoli and drink on a table.",pizza,broccoli,plate,000000238795.jpg,4,6,2,768267
a cat laying nestled up into a bowl with its head on top of a remote,cat,bowl,remote,000000395550.jpg,2,8,16,806544
A person takes a photo of the side mirror on a bus.,person,mirror,bus,000000449573.jpg,2,9,12,727927
A dog rides in the bed of a blue pickup truck.,bed,truck,dog,000000427467.jpg,6,11,2,424273
A bowl and a spoon that are sitting in a sink.,spoon,bowl,sink,000000580629.jpg,5,2,11,456389
"A bed, desk, dresser and window in a bedroom.",bed,desk,window,000000321394.jpg,2,4,8,248984
"A small bathroom with a glass shower door, sink, toilet, and disinfecting wipes.",door,toilet,sink,000000000754.jpg,8,12,10,539657
a close up of a person laying on a couch with a dog,couch,person,dog,000000483425.jpg,10,6,13,418647
A surfboard protruding from the rear window of a truck.,surfboard,truck,window,000000209791.jpg,2,13,10,389559
A multicolored cat that is sitting next to a plate that has a sandwich on it and a person on the other side of the plate.,cat,person,sandwich,000000254838.jpg,5,21,16,618213
Fork under part of cake on the plate pulling off a slice,fork,cake,plate,000000531289.jpg,1,5,8,388033
a black cat is on a bed and is rubbing his face up against an opened suitcase.,bed,cat,suitcase,000000510328.jpg,7,3,17,812408
A teddy bear sitting on a chair next to a coffee cup.,chair,bear,cup,000000570205.jpg,7,3,12,640187
A brown bear sitting in a  chair while wearing a red hat.,chair,bear,hat,000000554084.jpg,7,3,12,573199
A person holding a sandwich with a soda on the table next to them and a bowl of soup in the foreground.,person,bowl,sandwich,000000443177.jpg,2,17,5,178694
a dog sits on a leather couch in front of a coffee table and laptop,couch,laptop,dog,000000197097.jpg,7,15,2,238870
A cat sitting on a suitcase on a bed.,bed,cat,suitcase,000000515401.jpg,9,2,6,788821
A slice of pizza cut by a knife and fork.,fork,pizza,knife,000000489879.jpg,10,4,8,175691
"A person in a car wearing dark glasses, a shirt, and tie.",tie,person,car,000000562155.jpg,14,2,5,320797
A dog and cat are playing together on a bed,bed,cat,dog,000000174787.jpg,10,4,2,112968
A shirtless person laying in bed facing a sunlit window.,bed,person,window,000000516043.jpg,6,3,11,229579
a dog laying on a blue blanket next to a desk and fold up chair,chair,desk,dog,000000281578.jpg,15,11,2,333900
A cat sitting on a desk between the keyboard and monitor of a computer.,cat,desk,keyboard,000000308028.jpg,2,6,9,429599
A cat laying on a desk next to a keyboard.,cat,desk,keyboard,000000335940.jpg,2,6,10,442091
A person sitting on a couch on the laptop in front of fireplace.,couch,person,laptop,000000047192.jpg,6,2,9,325290
A mouse is hooked up to a laptop on a makeshift desk.,mouse,desk,laptop,000000043417.jpg,2,12,8,826681
A cat is sitting on the desk by the mouse.,cat,mouse,desk,000000479528.jpg,2,10,7,141075
"A laptop computer with keyboard, mouse and headphones attached.",mouse,laptop,keyboard,000000312596.jpg,8,2,6,813965
A desk topped with a computer mouse and keyboard.,mouse,desk,keyboard,000000139914.jpg,8,2,10,199285
A slice of cake and a fork on a plate.,fork,cake,plate,000000431504.jpg,7,4,10,462191
A textured grey bedding item makes  a bed for a curled up orange cat that is sleeping. ,orange,bed,cat,000000412955.jpg,13,8,14,776283
a black cat sleeping on a laptop by a window,cat,laptop,window,000000326313.jpg,3,7,10,584234
Two pieces of pizza on a plate with a knife and fork laying on the plate.,fork,pizza,knife,000000128180.jpg,12,4,10,143963
A lady looking out the window of a train at a bus.,train,bus,window,000000425590.jpg,9,12,6,418694
A cat is looking out of a car window,cat,window,car,000000536711.jpg,2,9,8,208242
A fluffy cat is sleeping next to an empty diet Snapple bottle.,bottle,cat,apple,000000555427.jpg,13,3,12,53228
A plate with the remains of a sandwich and broccoli in front of a girl wearing a Hello Kitty shirt.,sandwich,broccoli,plate,000000561547.jpg,8,10,2,701638
Hot dogs lay on an orange plate while hot dog buns are on a grill.,orange,dog,plate,000000185225.jpg,6,10,7,234197
a close up of a person holding a cat in a car,cat,person,car,000000434958.jpg,9,6,12,148573
"A bathroom is shown with a toilet, sink and a mirror. ",mirror,toilet,sink,000000390190.jpg,12,7,9,346058
A person wearing hat in a boat in the sea.,person,boat,hat,000000317934.jpg,2,7,4,303655
Keyboard and mouse rest on the metal themed tray of the desk,mouse,desk,keyboard,000000401327.jpg,3,12,1,394740
"An apple, banana, and a nectarine are scattered across a messy desk.",apple,desk,banana,000000395169.jpg,2,16,4,135538
A bicycle is in a bedroom with a bed and a desk.,bed,bicycle,desk,000000278411.jpg,9,2,12,342397
A man in orange hat holding a teddy bear.,orange,bear,hat,000000397959.jpg,4,9,5,296550
A cat laying on top of a couch next to a laptop computer.,couch,cat,laptop,000000241465.jpg,8,2,12,505602
A shrimp salad with broccoli on a plate with a fork.,fork,broccoli,plate,000000329652.jpg,11,5,8,29980
A gray and white cat sits on a sink and looks down toward a toilet.,cat,toilet,sink,000000011475.jpg,5,15,9,265277
A sandwich is on a plate with apples and cake.,cake,sandwich,plate,000000511036.jpg,10,2,6,828432
"a full bath with commode, sink and tub with shower, a mirror and a round window",mirror,sink,window,000000445028.jpg,15,8,19,279395
A dog snoozing on a chair by a window ,chair,dog,window,000000499225.jpg,7,2,10,244718
"a bedroom with a bed, desk, book shelf and nightstand ",bed,desk,book,000000253212.jpg,5,7,9,634566
Strawberry shortcake prepared on a white plate with a fork.,fork,cake,plate,000000569607.jpg,11,3,8,380912
Two trucks next to an orange dump truck bed.,orange,bed,truck,000000041233.jpg,6,9,8,259458
"A kitchen with a microwave, stove, oven and sink.",oven,sink,microwave,000000203975.jpg,9,11,5,426982
"A plate containing pizza topped with broccoli, tomatoes, and other toppings",pizza,broccoli,plate,000000054520.jpg,4,7,2,295503
A car driving down a road with a person holding a rainbow umbrella.,person,umbrella,car,000000053147.jpg,9,13,2,49627
a close up of a laptop and a mouse on a desk,mouse,desk,laptop,000000306593.jpg,9,12,6,503722
A person with a slice of pizza and a bottle.,bottle,person,pizza,000000256251.jpg,10,2,7,580141
A person on a skateboard wears tennis shoes with orange and white laces.  ,orange,person,skateboard,000000313213.jpg,10,2,5,302378
a person preparing an authentic pizza on a wooden spoon,spoon,person,pizza,000000461695.jpg,10,2,6,83712
An orange cat sleeping under covers in a bed. ,orange,bed,cat,000000195889.jpg,2,9,3,709893
The laptop is on a desk near an office chair.,chair,desk,laptop,000000070370.jpg,10,6,2,407587
A dog sitting in the sidecar of a motorcycle.,motorcycle,dog,car,000000026730.jpg,10,2,7,728972
"A phone is plugged into a laptop, which has a separate keyboard and mouse in front of it.",mouse,laptop,keyboard,000000015552.jpg,15,7,13,167825
A cute grey cat peeking from an orange chair.,orange,chair,cat,000000462839.jpg,8,9,4,373003
A person sitting on a bench and looking through a book.,person,bench,book,000000428035.jpg,2,6,11,134502
A fried hot dog sandwich on a white plate sitting on a table.,sandwich,dog,plate,000000027534.jpg,5,4,9,27556
A little kids train book setting on a keyboard.,train,keyboard,book,000000253004.jpg,4,9,5,762571
a toaster oven sitting on a stand outside by a window.,oven,toaster,window,000000176680.jpg,3,2,11,350331
The carrot cake is on a plate on the table,carrot,cake,plate,000000209570.jpg,2,3,7,650850
"A couch, chair, television and fireplace sitting in a living room by a window.",couch,chair,window,000000360485.jpg,2,4,16,247251
A couch and a chair in front of a TV in a living room.,couch,chair,tv,000000549729.jpg,2,5,10,320975
"Technological equipment, including an Apple monitor, computer keyboard and e-reader sit on a desk.",apple,desk,keyboard,000000018571.jpg,6,19,11,822069
"The bowl, sitting next to a green plate with tomatoes, had an two oranges, a tomato and apple.",apple,bowl,plate,000000215592.jpg,21,2,9,827315
a person is eating a pizza with a fork,fork,person,pizza,000000115793.jpg,9,2,6,688202
a horse standing on the road next to a person and car,horse,person,car,000000018424.jpg,2,10,12,325822
"A bathroom has a large mirror, toilet, and sink.",mirror,toilet,sink,000000334012.jpg,6,8,11,696585
A man kneeling over a toilet bowl in front of a mirror.,mirror,bowl,toilet,000000447993.jpg,13,8,7,264379
A cat playing with a stuffed banana on a couch ,couch,cat,banana,000000485494.jpg,10,2,7,549776
"A person wearing a hat, shoes, and jeans rides a skateboard.",person,hat,skateboard,000000304596.jpg,2,5,13,210288
A chair holding a laptop sits in front of an oven. ,chair,oven,laptop,000000202740.jpg,2,11,5,333454
A person sitting on a motorcycle with a dog in their jacket.,motorcycle,person,dog,000000449879.jpg,6,2,9,791946
A CAT SLEEPING ON THE BED WITH A LAPTOP KEPT BESIDES IT.,bed,cat,laptop,000000057812.jpg,6,2,9,75776
The young cat is sitting directly on top of the laptop keyboard.,cat,laptop,keyboard,000000291091.jpg,3,11,12,254639
A toaster oven in use beside a microwave.,oven,toaster,microwave,000000524471.jpg,3,2,8,86916
"COmputer room with light wooden desk, chair and book shelf on top.",chair,desk,book,000000008785.jpg,9,7,11,114382
A small white dog with it's head hanging out the window of a car.,dog,window,car,000000432962.jpg,4,12,15,208402
A monitor with a keyboard and a cat looking out the window.,cat,keyboard,window,000000286575.jpg,8,5,12,790312
"A man riding a bicycle, holding a cup and an umbrella in the rain.",cup,umbrella,bicycle,000000162547.jpg,9,12,5,618117
A cow and a person on a horse in the dirt.,horse,person,cow,000000035671.jpg,8,5,2,440371
"A bathroom with a sink, mirror and toilet.",mirror,toilet,sink,000000117542.jpg,7,9,5,310072
A large teddy bear riding on a wooden horse in a shop window,horse,bear,window,000000258768.jpg,9,4,13,229400
"A well-furnished bathroom with mirror, sink and toilet is shown.",mirror,toilet,sink,000000095880.jpg,7,11,9,622772
a person siting on a bench under a tree wit ha backpack,backpack,person,bench,000000319605.jpg,13,2,7,245998
A cat laying on a couch with its head on the remote control. ,couch,cat,remote,000000212873.jpg,6,2,12,550965
A person holding a blue umbrella shaped like a cat walks near an outdoor vegetable stand.,cat,person,umbrella,000000323155.jpg,10,2,6,655219
an orange and white cat is lying in a sink ,orange,cat,sink,000000065457.jpg,2,5,10,771772
Three people and a black car are dressed in ski jackets and two are wearing skis and our out in the snow while the third person is off to the side with her snowboard.,person,snowboard,car,000000410963.jpg,26,34,6,686898
"A plate of meat and broccoli, a fancy bowl of rice and wine sit on a table.",bowl,broccoli,plate,000000500233.jpg,10,6,2,303698
"A fork, apple, orange and onion lined up in a row.",orange,fork,apple,000000472246.jpg,6,2,4,250268
A person with a kite and a dog stands on the beach.  ,person,dog,kite,000000272396.jpg,2,8,5,252500
A pink keyboard and umbrella are prominent on this desk.,umbrella,desk,keyboard,000000025193.jpg,5,10,3,492237
A person is wearing a silly hat by a table with a cake.,person,cake,hat,000000438496.jpg,2,13,7,349166
a desk with a laptop and extra keyboard on it ,desk,laptop,keyboard,000000169872.jpg,2,5,8,610298
A brown cat next to a desktop computer with keyboard and mouse,cat,mouse,keyboard,000000036484.jpg,3,13,11,253502
A man in a car wearing an orange Wyoming trucker's hat.,orange,hat,car,000000411554.jpg,8,12,5,265350
"A bathroom with blue walls has a window, a sink, a bathub, and a toilet.",toilet,sink,window,000000068283.jpg,19,11,8,345937
"A person under a blanket, with a cat laying next to him/her, and holding a toothbrush ",cat,person,toothbrush,000000033924.jpg,9,2,20,21939
A cat laying on top of a desk next to a mouse.,cat,mouse,desk,000000163728.jpg,2,12,8,614190
There is a cat sitting on a couch next to a remote control.,couch,cat,remote,000000188824.jpg,8,4,12,619342
"On a desk sits a laptop, a monitor, mice and a keyboard.",desk,laptop,keyboard,000000266655.jpg,3,6,14,318055
There is a truck carrying a large boat on a flat bed,bed,boat,truck,000000033489.jpg,12,8,4,157200
A person sitting on a couch with an open laptop,couch,person,laptop,000000480883.jpg,6,2,10,383535
a toilet a sink and a bad mirror,mirror,toilet,sink,000000011727.jpg,8,2,4,757298
a cat that is sitting on a couch next to a remote,couch,cat,remote,000000475634.jpg,8,2,12,536874
A person is looking at a giraffe from a window.,person,giraffe,window,000000367860.jpg,2,7,10,678577
A person is cutting a slice of ice cream cake with a knife.,person,cake,knife,000000332965.jpg,2,10,13,503614
A small dog is sitting near the back window of a car.,dog,window,car,000000540449.jpg,3,9,12,354543
A cat on a chair holding a remote control.,chair,cat,remote,000000413235.jpg,5,2,8,347371
A partially eaten sandwich is next to a laptop on a desk.,desk,laptop,sandwich,000000336762.jpg,12,9,4,416926
A plate with a cake on top of it next to a fork.,fork,cake,plate,000000535626.jpg,13,5,2,710223
a black and orange cat in a shoe box and shoes,shoe,orange,cat,000000411926.jpg,8,4,5,594916
A silver and white cat sleeping on a laptop keyboard.,cat,laptop,keyboard,000000488386.jpg,5,9,10,740920
A fork is inside of a bowl of broccoli.,fork,bowl,broccoli,000000509855.jpg,2,7,9,431696
"Doorway shot of a bathroom sink, mirror and window.",mirror,sink,window,000000033182.jpg,8,6,10,198604
"A laptop, mouse, and pen sitting on a black desk. ",mouse,desk,laptop,000000353206.jpg,4,12,2,259785
A cat sitting next to a laptop looking up at the person taking the pictures.,cat,person,laptop,000000082418.jpg,2,12,7,775242
a bathroom with a sink a small mirror and a toilet,mirror,toilet,sink,000000075101.jpg,8,11,5,35264
A cat is fascinated by the toilet bowl.,cat,bowl,toilet,000000117307.jpg,2,8,7,531126
"a laptop computer and a keyboard,mouse and pc monitor",mouse,laptop,keyboard,000000189813.jpg,9,2,7,504750
a desk with a laptop and a monitor and keyboard on top,desk,laptop,keyboard,000000035423.jpg,2,5,10,98560
A person in a boat with a dog in Venice Italy.,person,boat,dog,000000146861.jpg,2,5,8,822183
A fluffy white dog sleeping on a couch wearing a red and white bow tie ,couch,tie,dog,000000393857.jpg,8,15,4,589355
a bath room with a toilet a sink and a mirror ,mirror,toilet,sink,000000523426.jpg,11,6,8,658228
A person standing next to a giant red chair with a horse on it.,horse,chair,person,000000572358.jpg,12,9,2,547515
A cat is using a remote as a pillow on a couch.,couch,cat,remote,000000396578.jpg,12,2,6,97432
The computer desk has a laptop and a television remote on it.,desk,laptop,remote,000000290524.jpg,4,7,11,578934
A small dog laying down next to a TV remote.,tv,remote,dog,000000283940.jpg,9,10,3,6910
a dog sits on a bed next to a laptop computer,bed,laptop,dog,000000099701.jpg,6,10,2,293135
A fork sits by a slice of cake adjacent to a cup. ,cup,fork,cake,000000269116.jpg,12,2,8,697865
A sub sandwich is on a plate with a salad next to a brown bottle.,bottle,sandwich,plate,000000304483.jpg,15,3,7,659485
"a small bathroom has a sink, toilet and mirror.",mirror,toilet,sink,000000158965.jpg,10,8,6,450168
a bird stands on top of a laptop keyboard ,laptop,keyboard,bird,000000577522.jpg,8,9,2,811654
A table with a black laptop next to a person on couch.,couch,person,laptop,000000285417.jpg,12,10,6,390180
A tiny bird rest on a car mirror.,mirror,bird,car,000000346583.jpg,8,3,7,110681
A book case sits between the window and the bed.,bed,book,window,000000307278.jpg,10,2,7,31829
"A monitor by a laptop, keyboard, mouse and Xbox 360.",mouse,laptop,keyboard,000000050099.jpg,9,5,7,495039
A cat is sitting behind the keyboard of a cluttered computer desk.,cat,desk,keyboard,000000518026.jpg,2,14,7,636262
A stuffed bear in front of a mirror on a desk.,bear,mirror,desk,000000017769.jpg,3,8,11,386168
A white plate with a sandwich and a fork.,fork,sandwich,plate,000000495460.jpg,9,6,3,382496
An orange and black motorcycle parked next to a silver car. ,orange,motorcycle,car,000000390817.jpg,2,5,11,491026
A person sitting on a hotel bed using a laptop.,bed,person,laptop,000000226660.jpg,7,2,10,556793
