caption,entity_1,entity_2,entity_3,image_name,index_1,index_2,index_3,id
A piece of cake on a blue plate with a spoon and a smiley face cut into the handle,spoon,cake,plate,000000438999.jpg,11,4,8,110497
Table near car with a bicycle along side and a plate with two hot dogs and a coke.,bicycle,car,plate,000000200365.jpg,6,3,11,110533
An orange cat sleeping on the hood of a car,orange,cat,car,000000578632.jpg,2,3,10,111168
An orange cat sitting in the middle of a car hood.,orange,cat,car,000000578632.jpg,2,3,10,113274
There is a coffee cup and water bottle on a desk,bottle,cup,desk,000000523526.jpg,8,5,11,119426
There is a dog in a car licking at the window,dog,window,car,000000252203.jpg,4,11,7,119451
A cat standing on a bicycle that is leaning against a bench.,cat,bench,bicycle,000000072810.jpg,2,12,6,119747
A small bathroom with a sink next to a toilet and a small window.,toilet,sink,window,000000485916.jpg,10,6,14,120232
"A bathroom with a toilet, sink, and mirror.",mirror,toilet,sink,000000066879.jpg,10,5,7,120296
"A small bathroom, toilet and sink with a large window.",toilet,sink,window,000000456328.jpg,5,7,11,126767
A person's holding a spoon near a plate of dessert,spoon,person,plate,000000250790.jpg,6,2,9,127178
"The words ""Connect_Anywhere"" cover a black and white photo of an unattended backpack left beside the window of an airport terminal overlooking the tarmac and a commercial airplane.",backpack,airplane,window,000000378448.jpg,18,33,22,130797
"A bathroom scene with a toilet, sink and a mirror.",mirror,toilet,sink,000000104837.jpg,11,6,8,134082
An elephant is in the rear view mirror of a car.,elephant,mirror,car,000000111789.jpg,2,8,11,134186
A bright blue laptop on a desk with a TV and plastic bottles.,tv,desk,laptop,000000373574.jpg,10,7,4,134289
A man sitting on a park bench next to a person laying on it with a dog.,person,bench,dog,000000151988.jpg,11,7,17,137113
A turkey and vegetables cooking in an oven with a glass window on the door.,door,oven,window,000000168512.jpg,15,8,12,138221
An adult elephant walking in the side view mirror of a car.,elephant,mirror,car,000000111789.jpg,3,9,12,139805
a bathroom with a toilet a sink and a mirror,mirror,toilet,sink,000000482210.jpg,10,5,7,140410
An orange tabby cat rests on the ground in front of a white wooden door.,orange,door,cat,000000352196.jpg,2,15,4,140589
"A picture taken by a person on a motorcycle on the road, with a race car behind it, and a rocky terrain in the background.",motorcycle,person,car,000000064723.jpg,9,6,17,141841
A bathroom has a wall of all mirror and a white sink and toilet,mirror,toilet,sink,000000474519.jpg,8,14,12,144394
"A clean bathroom with a sink, mirror and stylish toilet.",mirror,toilet,sink,000000050655.jpg,8,11,6,145285
a close up of a person holding a cat in a car,cat,person,car,000000434958.jpg,9,6,12,148573
"A kitchen scene complete with a refrigerator, sink and oven.",oven,refrigerator,sink,000000562139.jpg,11,7,9,152417
"A train cabin that contains a couch, a mirror, a picture, and overhead bins.",couch,train,mirror,000000074743.jpg,7,2,10,152820
A bathroom with a sink and toilet next to a window.,toilet,sink,window,000000429323.jpg,7,5,11,153465
A group of people behind a white picket fence watching a person in the grass with a dog and small group of sheep.,person,sheep,dog,000000427133.jpg,12,23,18,156666
A person riding a motorcycle in a cow pasture.,motorcycle,person,cow,000000403432.jpg,5,2,8,157474
a bathroom with a sink a mirror and a toilet,mirror,toilet,sink,000000408859.jpg,7,10,5,160883
"A bathroom scene with sink, mirror, and toilet.",mirror,toilet,sink,000000576667.jpg,7,10,5,165158
"A kitchen scene complete with a sink, refrigerator and an oven.",oven,refrigerator,sink,000000261175.jpg,12,9,7,167884
a table with a white plate a sandwich and a bottle,bottle,sandwich,plate,000000276488.jpg,11,8,6,170213
A BATHROOM WITH A TOILET SINK AND WINDOW,toilet,sink,window,000000576667.jpg,5,6,8,172844
A person spooning a liquid over the top of a bunt cake that is one a glass serving plate.,person,cake,plate,000000484432.jpg,2,14,21,174258
A plate on a desk has a partially eaten sandwich and some chips.,desk,sandwich,plate,000000276488.jpg,5,10,2,174554
a cat inside of a toilet bowl in a bathroom,cat,bowl,toilet,000000218924.jpg,2,7,6,179780
A bed in a bedroom with a wicker desk and a TV.,bed,tv,desk,000000074458.jpg,2,12,9,179831
a living room with a couch a chair and a tv,couch,chair,tv,000000520251.jpg,6,8,11,180594
"A bathroom scene with a toilet, sink and a suitcase.",suitcase,toilet,sink,000000394957.jpg,11,6,8,181400
a bathroom with a sink a gray suitcase and a toilet,suitcase,toilet,sink,000000394957.jpg,8,11,5,182636
"A kitchen scene complete with an oven, sink, and refrigerator.",oven,refrigerator,sink,000000549763.jpg,7,12,9,189880
A bathroom with the door opened to a toilet and separate sink and vanity area.,door,toilet,sink,000000555939.jpg,5,9,12,191766
A large orange cat sitting in a white glass bowl.,orange,cat,bowl,000000570528.jpg,3,4,10,193652
a street with some cars a bus and a person on a bicycle,person,bicycle,bus,000000406949.jpg,10,13,7,194080
"A small bathroom with a mirror, a sink, a toilet, and grey tiles.",mirror,toilet,sink,000000159151.jpg,6,12,9,197337
a bath room with a toilet a sink and a mirror,mirror,toilet,sink,000000231093.jpg,11,6,8,197435
A bathroom has a toilet and a bowl sink.,bowl,toilet,sink,000000168246.jpg,8,5,9,200228
a kitchen filled with an oven a microwave and a window,oven,window,microwave,000000465327.jpg,6,11,8,202135
a kitchen with a refrigerator a sink and a microwave,refrigerator,sink,microwave,000000356533.jpg,5,7,10,203410
A cat is sitting on a bathroom sink near a water bottle.,bottle,cat,sink,000000229740.jpg,12,2,8,205837
"A small bathroom with a toilet, sink and window.",toilet,sink,window,000000553280.jpg,6,8,10,206263
A paper bowl filled with cake and a muffin next to a banana.,cake,bowl,banana,000000313337.jpg,6,3,13,208327
A white sink and mirror stands near a red wall with a small window in it.,mirror,sink,window,000000436392.jpg,5,3,14,214117
A person is holding a hot dog in a handbag.,handbag,person,dog,000000467742.jpg,10,2,7,216439
A person is on a field with a dog and sheep.,person,sheep,dog,000000062167.jpg,2,11,9,217351
A cat standing on top of a car trunk next to a parked motorcycle.,motorcycle,cat,car,000000190326.jpg,14,2,8,223597
A white cat looking out of the window of a car.,cat,window,car,000000067164.jpg,3,8,11,231048
White cat looking out a closed car window.,cat,window,car,000000067164.jpg,2,8,7,231063
"This bathroom contains a toilet, sink, and window.",toilet,sink,window,000000185546.jpg,5,7,10,231337
a bath room with a toilet a sink and a mirror,mirror,toilet,sink,000000553280.jpg,11,6,8,232039
a bath room with a toilet a sink and a large mirror,mirror,toilet,sink,000000252829.jpg,12,6,8,232147
a bathroom with a toilet a sink and a mirror,mirror,toilet,sink,000000195306.jpg,10,5,7,234942
A dog pokes his head up in the window of a white car.,dog,window,car,000000397375.jpg,2,9,13,235029
A dog looking out a window of a car.,dog,window,car,000000397375.jpg,2,6,9,235401
A meal of a hot dog and some fries served in a model car on a plate.,dog,car,plate,000000311374.jpg,6,14,17,240674
A dog peeking out of a car's window.,dog,window,car,000000397375.jpg,2,9,7,241137
Orange and black cat sitting on the hood of a car.,orange,cat,car,000000360510.jpg,1,4,11,244413
"A kitchen containing a microwave, oven and sink.",oven,sink,microwave,000000251343.jpg,7,9,5,245065
"A narrow bathroom with a sink, mirror and toilet.",mirror,toilet,sink,000000553280.jpg,8,10,6,245092
A person with a hat on holding a bicycle.,person,bicycle,hat,000000459141.jpg,2,9,5,246006
"A toilet, sink and mirror sitting in a bathroom.",mirror,toilet,sink,000000171349.jpg,6,2,4,249486
"A refrigerator, oven and microwave sitting in a kitchen.",oven,refrigerator,microwave,000000086408.jpg,4,2,6,249768
Two monitors sitting on a desk by a chair and a window.,chair,desk,window,000000200302.jpg,9,6,12,252073
A toilet sitting next to a bathroom counter with a sink and a mirror.,mirror,toilet,sink,000000252829.jpg,14,2,11,253123
"A bathroom with a toilet, sink, tub, towel rack and a window.",toilet,sink,window,000000523978.jpg,5,7,15,253340
"A bathroom with a toilet, tub,sink, shower connection and hand mirror.",mirror,toilet,sink,000000514682.jpg,15,5,9,255086
A bicycle and a motorcycle parked near a door on a narrow street.,motorcycle,door,bicycle,000000520524.jpg,5,9,2,255676
"A bathroom with a toilet, sink and mirror.",mirror,toilet,sink,000000171349.jpg,9,5,7,257484
"a bathroom with a toilet, sink, cabinet and mirror",mirror,toilet,sink,000000542145.jpg,11,5,7,262183
a person riding a motorcycle near a large truck,motorcycle,person,truck,000000231402.jpg,5,2,9,263034
a person looking at an airplane through a window ,person,airplane,window,000000414917.jpg,2,6,9,268493
An orange cat sitting on top of a white bench next to a bike.,orange,cat,bench,000000171753.jpg,2,3,10,268563
a man wearing a black jacket a toilet a mirror and a sink,mirror,toilet,sink,000000104751.jpg,10,8,13,271198
an orange black and white cat sitting on a blue car,orange,cat,car,000000327177.jpg,2,6,11,271669
A sink under a mirror next to a door way.,door,mirror,sink,000000085268.jpg,9,5,2,271775
A person is standing over a window over the kitchen sink.,person,sink,window,000000034212.jpg,2,11,7,272543
A door open revealing a small bathroom with sink and toilet.,door,toilet,sink,000000156832.jpg,2,11,9,273728
A big orange cat sitting on a wooden bench.,orange,cat,bench,000000171753.jpg,3,4,9,276543
A bowl sink in front of a large mirror.,mirror,bowl,sink,000000214664.jpg,9,2,3,277957
A golden cat sitting on a bench in front of a bicycle.,cat,bench,bicycle,000000171753.jpg,3,7,12,278004
"A bathroom containing a toilet, sink, window, and bath tub.",toilet,sink,window,000000409125.jpg,5,7,9,279600
a close up of a banana on a plate next to a bowl,bowl,banana,plate,000000240798.jpg,13,6,9,279942
a bathroom vanity with a bowl sink and large mirror ,mirror,bowl,sink,000000214664.jpg,10,6,7,280147
"A view of a bathroom shows a toilet, sink and mirror.",mirror,toilet,sink,000000125059.jpg,12,8,10,280678
"A desk with a laptop, computer monitor and a keyboard.",desk,laptop,keyboard,000000580953.jpg,2,5,12,280752
There is a eaten banana on a white plate along with a bowl,bowl,banana,plate,000000240798.jpg,13,5,9,281835
"A computer desk with a keyboard, laptop and computer monitor.",desk,laptop,keyboard,000000580953.jpg,4,9,7,282135
A plate with a bowl on it and a banana peel.,bowl,banana,plate,000000240798.jpg,5,10,2,283143
A big dog sticking its head out a car window.,dog,window,car,000000200023.jpg,3,10,9,283572
A person that is on the toilet by a dog.,person,toilet,dog,000000312020.jpg,2,7,10,289339
A cat sitting on top of a window sill over a sink.,cat,sink,window,000000322353.jpg,2,12,8,289712
A cat laying on a window sill over a sink.,cat,sink,window,000000322353.jpg,2,10,6,290552
A kitchen counter topped with a microwave and a toaster oven.,oven,toaster,microwave,000000398661.jpg,11,10,7,292335
"A bedroom containing a bed, a dresser, a large TV on the wall and 2 four-door cabinets",bed,door,tv,000000483328.jpg,5,20,12,293383
"a bathroom with a sink, toilet and a window",toilet,sink,window,000000528411.jpg,7,5,10,293391
"A bathroom with a brown floor, white toilet and a sink with a bowl",bowl,toilet,sink,000000353920.jpg,15,9,12,293710
A white bowl of bananas and sour cream sits on a white plate next to a banana half in the peel.,bowl,banana,plate,000000512912.jpg,3,17,13,294797
looking through the bathroom door at the sink and toilet,door,toilet,sink,000000046869.jpg,5,10,8,297067
A plate with a bowl of food and a half banana on it.,bowl,banana,plate,000000512912.jpg,5,11,2,299648
"A bedroom area with a bed, mirror and window to patio.",bed,mirror,window,000000144870.jpg,6,8,10,302996
"a bathroom with a towel draped across the bathtub, a toilet,sink and mirror",mirror,toilet,sink,000000577521.jpg,16,12,14,304124
"A room has a flat toilet, sink, and mirror in it.",mirror,toilet,sink,000000249227.jpg,11,6,8,304284
A person is in the rear view mirror of a motorcycle.,motorcycle,person,mirror,000000315923.jpg,11,2,8,305545
A white plate topped with a bowl of pudding next to a banana.,bowl,banana,plate,000000512912.jpg,7,13,3,306047
A person with a hooded jacket is working on a laptop while sitting on a bench in the park.,person,bench,laptop,000000150342.jpg,2,16,11,306835
"A bathtub, toilet, mirror and sink in a bathroom.",mirror,toilet,sink,000000249227.jpg,6,4,8,307119
A person sitting on a bench using a laptop.,person,bench,laptop,000000150342.jpg,2,6,9,307858
"A bathroom with a toilet, shower stall, sink and a mirror.",mirror,toilet,sink,000000301595.jpg,13,5,10,308024
A person sits on a bench outdoors next to shrubbery typing on a laptop.,person,bench,laptop,000000150342.jpg,2,6,16,310207
Bicycles sit solidarity on a train car against the window,train,window,car,000000093736.jpg,6,10,7,310395
A large mirror behind a sink and toilet in a small bathroom.,mirror,toilet,sink,000000473055.jpg,3,8,6,313417
A bottle of soap on a sink under a mirror. ,bottle,mirror,sink,000000343073.jpg,2,10,7,313638
"A toilet, sink and mirror in the bathroom",mirror,toilet,sink,000000436141.jpg,6,2,4,314087
A orange tabby cat laying down on a black car,orange,cat,car,000000124462.jpg,2,4,10,315452
a kitchen wit ha refrigerator a sink and a window,refrigerator,sink,window,000000478312.jpg,5,7,10,316147
An orange cat laying on the hood on a car.,orange,cat,car,000000124462.jpg,2,3,10,317258
"A desk with a phone, remote and computer keyboard and screen.",desk,keyboard,remote,000000480015.jpg,2,11,7,325165
"Two computers, keyboard and phone with mouse on a desk.",mouse,desk,keyboard,000000379310.jpg,9,12,5,327391
"A closeup view of a desk with a keyboard, mouse, and monitor.",mouse,desk,keyboard,000000050942.jpg,11,6,9,328880
"There is a toilet, sink, tub and mirror in the bathroom.",mirror,toilet,sink,000000574166.jpg,10,4,6,329264
a laptop computer a keyboard with a screen a mouse and home phone,mouse,laptop,keyboard,000000379310.jpg,11,2,6,330916
a white tub a toilet a mirror and a sink,mirror,toilet,sink,000000271712.jpg,7,5,10,337818
A airplane flying over a person walking into body of water with a boat in it.  ,person,boat,airplane,000000492067.jpg,6,14,2,339894
a bath room with a toilet a mirror and a sink,mirror,toilet,sink,000000434098.jpg,8,6,11,341874
a cat in a bath room looking inside of a toilet bowl,cat,bowl,toilet,000000463066.jpg,2,12,11,342496
"A bathroom is shown with a toilet, sink and a mirror. ",mirror,toilet,sink,000000390190.jpg,12,7,9,346058
a cat is climbing from a window sill on top of a toilet seat,cat,toilet,window,000000494345.jpg,2,13,7,348402
A black white and brown cat looking into a toilet bowl,cat,bowl,toilet,000000494345.jpg,6,11,10,349959
A cat standing on a toilet seat looking in the bowl.,cat,bowl,toilet,000000494345.jpg,2,11,6,351021
A white toilet sitting underneath a window next to a sink.,toilet,sink,window,000000187933.jpg,3,11,7,352563
A man stops his motorcycle to read the advertisement on the bus bench.,motorcycle,bench,bus,000000475407.jpg,5,13,12,352607
A cat laying in a white sink next to a toilet.,cat,toilet,sink,000000063950.jpg,2,11,7,352867
"a bathroom with a sink, toilet and shuttered window.",toilet,sink,window,000000187933.jpg,7,5,11,354222
A bathroom sink with a mirror and toilet.,mirror,toilet,sink,000000141795.jpg,6,8,3,354398
A small dog is sitting near the back window of a car.,dog,window,car,000000540449.jpg,3,9,12,354543
"A kitchen with a table, refrigerator, oven, stove and a sink.",oven,refrigerator,sink,000000221753.jpg,9,7,14,355282
A white toilet under a window next to a sink.,toilet,sink,window,000000468885.jpg,3,10,6,355359
Dog resting next to an older man on the couch with the tv on in the back.,couch,tv,dog,000000284658.jpg,10,13,1,355817
A man sitting on a couch with a dog watching TV.,couch,tv,dog,000000284658.jpg,6,11,9,355853
A dog sitting in the back window of a car.,dog,window,car,000000540449.jpg,2,7,10,355905
"A desk with a laptop, computer monitor and keyboard.",desk,laptop,keyboard,000000403107.jpg,2,5,11,357714
A laptop with a mouse is on a small desk.,mouse,desk,laptop,000000259519.jpg,5,10,2,358756
A bathroom mirror with a reflection of a door and sink in front of it.,door,mirror,sink,000000209239.jpg,9,3,11,358960
a dog sitting up in a car window,dog,window,car,000000540449.jpg,2,8,7,360852
A photograph of a cat and mouse on top of a dog.,cat,mouse,dog,000000174871.jpg,5,7,12,365520
A mouse and cat sit on top of a dog.,cat,mouse,dog,000000174871.jpg,4,2,10,366492
"The bathroom contains a window, toilet, sink, and bathtub.",toilet,sink,window,000000240501.jpg,7,9,5,368366
Small dog with both a cat and a mouse riding on its back.,cat,mouse,dog,000000174871.jpg,6,9,2,369033
a gray and white bathroom with a sink mirror and toilet,mirror,toilet,sink,000000058472.jpg,9,11,8,369812
Side mirror of bus headlight on car in traffic with grassy median,mirror,bus,car,000000217846.jpg,2,4,8,372259
Cat and mouse riding on a dog on a busy city street.,cat,mouse,dog,000000174871.jpg,1,3,7,373971
A person in brown shirt standing next to a dog and sheep.,person,sheep,dog,000000388829.jpg,2,12,10,374185
a rear view window with a truck reflected in the mirror,mirror,truck,window,000000217846.jpg,11,7,4,374899
"A bathroom with a toilet, sink, mirror, and toiletries.",mirror,toilet,sink,000000410301.jpg,9,5,7,374959
"A bathroom area with a sink, mirror, toilet and tub.",mirror,toilet,sink,000000058472.jpg,8,10,6,376106
A person on bicycle next to a black truck and child on sidewalk.,person,bicycle,truck,000000362343.jpg,2,4,9,376466
"Doorway view into a bathroom with a sink, toilet and mirror.",mirror,toilet,sink,000000016523.jpg,12,10,8,377765
a close up of a dog with a cat and a mouse on its back,cat,mouse,dog,000000174871.jpg,9,12,6,378072
a bah room with a sink a mirror and a toilet,mirror,toilet,sink,000000105757.jpg,8,11,6,378261
a bath room with a toilet a mirror and a sink,mirror,toilet,sink,000000016523.jpg,8,6,11,379022
A person sitting with a dog and some sheep.,person,sheep,dog,000000388829.jpg,2,9,6,380305
A person with a dog petting some sheep,person,sheep,dog,000000388829.jpg,2,8,5,382753
A person in a bear costume is riding in the back of a red car.,bear,person,car,000000225014.jpg,5,2,15,384151
A man sitting on a couch in a hotel room that also has a bed and desk.,couch,bed,desk,000000060548.jpg,6,15,17,385514
"A bathroom with a bathtub, sink, mirror, and window.",mirror,sink,window,000000256713.jpg,9,7,12,385549
a small bathroom with a toilet sink and mirror,mirror,toilet,sink,000000016523.jpg,9,6,7,386501
A person in front of a mirror with a toothbrush.,person,mirror,toothbrush,000000522425.jpg,2,7,10,386712
A bowl in a sink and window in a room.,bowl,sink,window,000000396461.jpg,2,5,7,386746
"A bathroom with a toilet, sink, mirror and shower stall.",mirror,toilet,sink,000000214204.jpg,9,5,7,387432
A furry cat sitting on top of a toilet bowl,cat,bowl,toilet,000000465591.jpg,3,10,9,388899
a close up of a cat on a desk near a sandwich ,cat,desk,sandwich,000000003067.jpg,6,9,12,394933
A kitten on a desk with an open sandwich and apple.,apple,desk,sandwich,000000003067.jpg,11,5,9,397507
"A computer, keyboard and mouse sitting on a desk.",mouse,desk,keyboard,000000102609.jpg,7,11,5,397537
newspapers on the wall. a separate sink and private toilet area with a door,door,toilet,sink,000000437910.jpg,15,11,8,397705
A cat is on a table next to a sandwich and an apple.,cat,apple,sandwich,000000003067.jpg,2,13,10,397915
"A bathroom area with a toilet, sink and window.",toilet,sink,window,000000437910.jpg,6,8,10,399388
a desk with a cup sits next to a laptop ,cup,desk,laptop,000000124601.jpg,5,2,10,400147
A person in blue rides a car attached to a horse around a track.,horse,person,car,000000286813.jpg,11,2,7,400543
A cat sniffing a sandwich by an apple and a phone.,cat,apple,sandwich,000000003067.jpg,2,9,6,400726
A small bird sitting on the handle of a car door.,door,bird,car,000000137490.jpg,11,3,10,402520
A white toilet sitting between a car and a truck.,truck,toilet,car,000000187424.jpg,10,3,7,402640
a sign a street a green car and a person with a black umbrella,person,umbrella,car,000000083844.jpg,10,14,7,402676
A white toilet sitting under a window next to a sink.,toilet,sink,window,000000141910.jpg,3,11,7,403302
A green car parked by a building with the word Greed visible and a person waling in the rain with an umbrella on the sidewalk.,person,umbrella,car,000000083844.jpg,15,23,3,403831
A BIRD PERCHED ON THE CAR DOOR HANDLE,door,bird,car,000000137490.jpg,7,2,6,407362
"A cat, a bicycle, and a chair are behind the chain linked fence.",chair,cat,bicycle,000000387478.jpg,9,2,5,407951
A person is riding an orange motorcycle doing a hand motion,orange,motorcycle,person,000000315448.jpg,6,7,2,410288
Person tiding an orange motorcycle with one had raised.,orange,motorcycle,person,000000315448.jpg,5,6,1,415613
"A toilet in the middle of the road, between a black car and a delivery truck",truck,toilet,car,000000187424.jpg,17,2,13,416698
"A bathroom has a toilet, sink, mirror and bidet.",mirror,toilet,sink,000000505849.jpg,9,5,7,417137
A white toilet bowl in a room with a window,bowl,toilet,window,000000107427.jpg,4,3,10,420501
a mirror a phone a sink a toilet and a light,mirror,toilet,sink,000000010643.jpg,2,8,6,423556
