caption,entity_1,entity_2,image_name,index_1,index_2,id
a white gray and black cat is sleeping on a shoe,shoe,cat,000000285418.jpg,11,6,205647
The guy wearing camouflage outfit with the orange reflector vest is riding a motorcycle.,orange,motorcycle,000000537548.jpg,8,15,50142
A cat places its mouth on a computer keyboard. ,cat,keyboard,000000438628.jpg,2,10,581043
a close up of a cat in a window of a building,cat,window,000000426731.jpg,6,9,158831
Roses and white flowers are in a rounded bowl vase.,vase,bowl,000000034579.jpg,10,9,777378
a macaroni and cheese dog on a bun and white plate,dog,plate,000000133225.jpg,5,11,215777
The digital dining car of a digital train.,train,car,000000177994.jpg,8,4,20950
THERE IS A STATUE OF A DOG WITH A MIRROR ON IT,mirror,dog,000000198037.jpg,10,7,116805
A cat pushes a mirror from side to side ,cat,mirror,000000122213.jpg,2,5,710591
A bathroom sink under a mirror and next to shelves.,mirror,sink,000000143170.jpg,6,3,759510
A boy brushing his teeth in mirror at bathroom sink.,mirror,sink,000000523641.jpg,7,10,375759
A clock by a window looking out at a large building ,clock,window,000000014819.jpg,2,5,705821
A black cat standing on a red suitcase,cat,suitcase,000000066271.jpg,3,8,183656
an orange fire truck parked in a wharehouse,orange,truck,000000292662.jpg,2,4,16249
There is a person riding on top of an elephant. ,elephant,person,000000055942.jpg,10,4,652214
A view of a restroom sink with a missing mirror.,mirror,sink,000000330951.jpg,10,6,304133
a desk with a laptop and a computer monitor sitting next to each other ,desk,laptop,000000384235.jpg,2,5,456945
A cat on the shoulder of a man in a car. ,cat,car,000000213591.jpg,2,11,229072
a man laying on a bed and using a silver laptop ,bed,laptop,000000437452.jpg,6,11,689207
A cat lays intently on a black suitcase.,cat,suitcase,000000115642.jpg,2,9,636169
A person flying a kite on a beach by the ocean.,person,kite,000000248024.jpg,2,5,821787
a brown and black dog is sleeping in a bed and some pillows,bed,dog,000000407112.jpg,10,5,307229
"A plate of Mexican food, a basket of chips and a small bowl of salsa.",bowl,plate,000000295106.jpg,14,2,300062
"A well made bed with a fire place, chair and lamps.",chair,bed,000000468801.jpg,10,4,791339
A rusted old train car overgrown with vines.,train,car,000000208898.jpg,5,6,302041
A white kitchen microwave oven and electric stove,oven,microwave,000000257617.jpg,5,4,501503
a person holding a cell phone up in front of a round table with a cake on it,person,cake,000000367048.jpg,2,16,499126
 A small desk with a laptop and small television sitting in the corner of the room.,desk,laptop,000000254360.jpg,3,6,435937
A teddy bear is among an electric tea kettle and an empty cup.,bear,cup,000000130184.jpg,3,13,468110
a close up of a sliced pizza on a plate,pizza,plate,000000383106.jpg,7,10,565180
a person and two plates of pizza and some glasses,person,pizza,000000255969.jpg,2,7,84440
A person that is sleeping in a bed.,bed,person,000000362768.jpg,8,2,161002
"A larger bedroom features a desk, bed and art on the walls.",bed,desk,000000038733.jpg,8,6,415560
A bathroom is shown with a toilet and sink.,toilet,sink,000000005277.jpg,7,9,357093
Three pieces of broccoli fill a bowl on a marble countertop.,bowl,broccoli,000000188621.jpg,7,4,141161
A white microwave oven sitting on top of a pier.,oven,microwave,000000338248.jpg,4,3,675968
The person holds up a partially-eaten hot dog wrapped in paper.,person,dog,000000525802.jpg,2,10,148983
A pair of glasses sitting on a desk next to a cell phone and laptop.,desk,laptop,000000065448.jpg,8,15,752007
A large teddy bear in a boat being paraded down a street.,bear,boat,000000483875.jpg,4,7,310513
One cat hides under the sink while the other tries to drink from the faucet on top,cat,sink,000000579667.jpg,2,6,415223
A white cat sleeping on top of a chair net to an air conditioner.,chair,cat,000000084609.jpg,9,3,118231
The cat has a hat on top of its head.,cat,hat,000000353124.jpg,2,5,596342
A red motorcycle parked in front of a garage door.,motorcycle,door,000000436856.jpg,3,10,657712
a person walking on a city street with an opened umbrella,person,umbrella,000000042516.jpg,2,11,605206
a cat that appears to be using a toilet,cat,toilet,000000120108.jpg,2,9,531429
A cake in a plate and fruit on a table.,cake,plate,000000134238.jpg,2,5,289169
A horse sticking its head out of a window.,horse,window,000000085162.jpg,2,9,329735
A person standing in a courtyard with an umbrella.,person,umbrella,000000093756.jpg,2,9,198617
A woman in a bathrobe lying on a bed reading a book,bed,book,000000548452.jpg,10,13,186593
A colorful pizza resting on a steel oven pan.,oven,pizza,000000350741.jpg,8,3,83952
A woman holding up a blue bicycle in a car port.,bicycle,car,000000520750.jpg,7,10,749149
A bird is sitting on the back of a horse.,horse,bird,000000152586.jpg,10,2,763665
A little boy helps his father fix the oven door.,door,oven,000000287466.jpg,10,9,772040
An desk containing a desktop and laptop computer,desk,laptop,000000472109.jpg,2,7,32355
Few persons are seen on zebra crossing on road and an elephant with a banner is there.,elephant,zebra,000000133867.jpg,12,6,616940
A bowl full of broccoli with spoons on a table.,bowl,broccoli,000000412592.jpg,2,5,604744
The cat is climbing up onto the couch,couch,cat,000000378751.jpg,8,2,115373
A snow covered mountain with a person riding a snowboard down it's slope.,person,snowboard,000000035411.jpg,7,10,76744
A motorcycle parked on a narrow street sitting in front of an older model car,motorcycle,car,000000488943.jpg,2,15,46834
A laptop computer and a monitor sitting on a desk.,desk,laptop,000000029891.jpg,11,2,765553
A black and white cat standing on top of a white toilet.,cat,toilet,000000216428.jpg,5,12,354308
The man is wearing a bright orange and yellow tie.,orange,tie,000000520385.jpg,7,10,706869
A man with a dog on his lap sitting on a bed.,bed,dog,000000170640.jpg,12,5,469829
A picture is taken from the airplane window of two other planes.,airplane,window,000000396770.jpg,7,8,601826
A walks near a building with his backpack and suitcase,backpack,suitcase,000000129604.jpg,8,10,591841
A cat that doesn't look happy dressed with a tie around it's neck. ,tie,cat,000000301146.jpg,11,2,233776
A man with hat running after a frisbee on the field,frisbee,hat,000000200770.jpg,8,4,672042
A unique looking living room has a small TV and a big couch. ,couch,tv,000000205563.jpg,14,10,280234
"On this table there is a laptop, a book, a notepad and pen, some keys, some glasses in a case, a fanny pack, and a backup chip for the computer",laptop,book,000000085143.jpg,7,10,482228
A person sitting on a surfboard on the edge of the ocean.,person,surfboard,000000151138.jpg,2,6,324173
"A cheeseburger sits on a white plate, next to a drink in a Dunkin Donuts cup.",cup,plate,000000035407.jpg,17,7,59259
a sink with a bottle of booze some spritzer and an ice bucket,bottle,sink,000000200503.jpg,5,2,327197
A person is on a skateboard on a ramp with a crowd watching. ,person,skateboard,000000358486.jpg,2,6,654777
"A white table topped with game controllers, remote controls, a keyboard and phones.",keyboard,remote,000000283809.jpg,13,9,254479
A tan and white old dog and a young black and tan tog on a bed. ,bed,dog,000000502284.jpg,16,6,427210
A cat laying on a bed with some stuffed animals.,bed,cat,000000152742.jpg,6,2,581019
A plate of pizza with greens sprinkled over it.,pizza,plate,000000532571.jpg,4,2,567771
A white recovery truck is in front of a red bus.,bus,truck,000000149123.jpg,11,4,212737
A cat in the bathroom sitting on a toilet.,cat,toilet,000000032405.jpg,2,9,580339
A man is feeding a giraffe out of a cup.,cup,giraffe,000000292102.jpg,10,6,198289
A table with a white plate and a cake.,cake,plate,000000356912.jpg,9,6,322890
A man preparing a pizza to cook in the oven.,oven,pizza,000000489279.jpg,10,5,543952
A  man with a butcher knife standing next to two sheep.,sheep,knife,000000076970.jpg,11,6,231642
A dog with a Frisbee in its mouth at the edge of the water on a beach.,frisbee,dog,000000046056.jpg,5,2,499647
A bed room with the television on and a suitcase on the ground.,bed,suitcase,000000080397.jpg,2,10,519962
A wet dog standing in water with a frisbee in his mouth. ,frisbee,dog,000000477920.jpg,9,3,396714
A room with a large white bed and a flat screen TV.,bed,tv,000000162156.jpg,7,12,322669
A cat lazily sits in the middle of a cluttered desk.,cat,desk,000000009735.jpg,2,13,239029
A boy on an upside down skateboard in what looks like a bedroom on a bed.,bed,skateboard,000000090306.jpg,16,7,530586
"A bathroom area with toilet, mirror and a television.",mirror,toilet,000000118227.jpg,7,5,343177
A person cutting up an apple on a wooden cutting board.,person,apple,000000445745.jpg,2,6,532517
A cat sits on top of a mousepad on a computer desk. ,cat,desk,000000549709.jpg,2,15,243466
a cluttered room with a coach and a bicycle and a door,door,bicycle,000000391269.jpg,13,10,317868
Pizza and wine are sitting with an open book.,pizza,book,000000121647.jpg,1,9,370250
A person sitting on a large park bench on green grass.,person,bench,000000275377.jpg,2,8,11913
a woman playing with her dog and a frisbee in the park ,frisbee,dog,000000477243.jpg,9,6,82388
A person in a boat on a river with other people doing the same thing.,person,boat,000000178658.jpg,2,5,198664
A person in green shirt flying a kite on grassy field next to trees.,person,kite,000000253148.jpg,2,8,392560
a dog that is on a black skateboard,dog,skateboard,000000438915.jpg,2,8,650583
A young girl on a bench with a kite.,bench,kite,000000022658.jpg,6,9,98767
A dog gathering a group of sheep in a field.,sheep,dog,000000521922.jpg,7,2,519250
A cat laying under a black umbrella on top of a counter.,cat,umbrella,000000541109.jpg,2,7,522466
A person kneeling on a skateboard riding on asphalt.,person,skateboard,000000555074.jpg,2,7,177581
a cute little kitten sitting on a laptop keyboard ,laptop,keyboard,000000463865.jpg,8,9,755516
a desk with a computer on it sits in front of a chair,chair,desk,000000400592.jpg,14,2,400552
A tow truck towing a car on a city street.,truck,car,000000374174.jpg,3,6,312274
a person wearing a blue shirt a refrigerator and a stove,person,refrigerator,000000411450.jpg,2,8,214481
"A gray cat perched atop a window ledge, peering outside",cat,window,000000026803.jpg,3,7,292714
a cat wearing a hat sitting on a soffa,cat,hat,000000080213.jpg,2,5,598969
A PERSON IS ON THE BEACH LYING ON THE SURF BOARD HUGGING A DOG ,person,dog,000000034454.jpg,2,14,541239
a glass of orange juice places next to a cup of coffee,orange,cup,000000135029.jpg,4,10,784937
a desk with a laptop and some chairs ,desk,laptop,000000552136.jpg,2,5,503691
A person sitting on a surfboard at the beach.,person,surfboard,000000315856.jpg,2,6,2549
A black cat sitting on top of a red couch.,couch,cat,000000397894.jpg,10,3,429089
A bathroom with a wall mounted white toilet and a large window.,toilet,window,000000179921.jpg,8,12,622567
"A den with a couch, chair, coffee table and television.",couch,chair,000000432297.jpg,5,7,267695
A large  black cat sitting on a desk,cat,desk,000000568559.jpg,4,8,131135
An elephant with a red bench on its back and a red and yellow blanket over it's body.,elephant,bench,000000293974.jpg,2,6,98763
a black cat is sitting on a wood bench,cat,bench,000000207282.jpg,3,9,706336
A soggy small dog with pink shirt on a surfboard,surfboard,dog,000000047105.jpg,10,4,456352
A cat is laying in a bowl with a receipt.,cat,bowl,000000227730.jpg,2,7,285962
Black and white cat standing in front of a mirror. ,cat,mirror,000000257588.jpg,4,10,108308
Front room with couch picture coffee table and bay window.,couch,window,000000129415.jpg,4,10,651609
A person on a surfboard jumping a wave.,person,surfboard,000000049901.jpg,2,5,191336
A woman at a table eating doughnuts with a knife and fork,fork,knife,000000461715.jpg,12,10,196656
A black cat sitting in a window sill behind the blinds.,cat,window,000000163738.jpg,3,7,327993
A pizza on a table with a knife in the background.,pizza,knife,000000278449.jpg,2,8,159801
a person riding a horse with a flag ,horse,person,000000544261.jpg,5,2,661172
A brown dog looking at the lit candle on the doggy birthday cake,cake,dog,000000371046.jpg,13,3,558738
A footlong sandwich on a piece of paper next to a serrated knife.,sandwich,knife,000000139306.jpg,4,15,324484
A woman and a dog tussle over a frisbee.,frisbee,dog,000000070528.jpg,10,5,158525
a living room with a sofa chair television lamp and window,chair,window,000000188688.jpg,7,11,561147
A cat peeking out of the comforter on a large bed,bed,cat,000000551358.jpg,12,2,199472
A bird is eating leftover Chinese food off a plate inside a restaurant.,bird,plate,000000401392.jpg,2,10,538751
A sad looking dog is looking outside an open window.,dog,window,000000060689.jpg,4,10,392585
"Dog, white Scottish or Sealyham Terrier, on belly, next to shallow yellow bowl on grass ground.",bowl,dog,000000522818.jpg,18,1,125862
A zebra standing next to a giraffe on a field.,giraffe,zebra,000000511138.jpg,7,2,716969
A pizza sitting on top of a plate on a wooden table.,pizza,plate,000000311561.jpg,2,8,586340
"A kitchen has a refrigerator, a dishwasher, and a window.",refrigerator,window,000000504336.jpg,5,12,421646
a computer that has a keyboard and a mouse,mouse,keyboard,000000440964.jpg,10,7,655871
A person putting dough into an oven with a spatula.,person,oven,000000182455.jpg,2,7,47715
Two people walking under an umbrella on a street near some benches and a motorcycle.,motorcycle,umbrella,000000173161.jpg,15,6,252761
a cat sitting next to a glass  window,cat,window,000000468411.jpg,2,8,741799
The black cat is standing on a computer keyboard that is on the floor.,cat,keyboard,000000036942.jpg,3,10,490555
A cat and its reflection in a round mirror,cat,mirror,000000458631.jpg,2,9,187226
A person riding a brown horse through a green pasture.,horse,person,000000386589.jpg,6,2,28461
A cat with its facing hanging over a keyboard.,cat,keyboard,000000575911.jpg,2,9,447162
A metal toilet with a black seat sitting next to a window.,toilet,window,000000190227.jpg,3,12,154314
A TV sitting next to a chair in a room.,chair,tv,000000544703.jpg,7,2,288282
A cat is looking out of the window intensely.,cat,window,000000051296.jpg,2,8,442671
A person wearing athletic shoes is laying on a bed.,bed,person,000000554710.jpg,10,2,343473
a cat is standing next to a mug in a sink,cat,sink,000000022041.jpg,2,11,799619
"A plate with steak, gravy, baked apples, and broccoli. ",broccoli,plate,000000316675.jpg,12,2,130316
A sitting cow and a bird side by side in green grass,cow,bird,000000576075.jpg,3,6,623556
A plate of a variety of meats and cheeses with a cup of jelly.,cup,plate,000000264362.jpg,12,2,726915
A cat is trying to reach food a person is preparing.,cat,person,000000117774.jpg,2,9,462164
A person and a cat are looking at television.,cat,person,000000266250.jpg,5,2,511463
A pickup truck sitting on the back of a train.,train,truck,000000337458.jpg,10,3,690978
"A plate with barbecue chicken, mashed red potatoes and steamed broccoli.",broccoli,plate,000000483389.jpg,12,2,153674
A person with a snowboard next to a man with skis.,person,snowboard,000000450598.jpg,2,5,361877
A bowl of rice and carrots with a spoon.,spoon,bowl,000000324450.jpg,9,2,680977
a dog sitting on the ledge in an open window,dog,window,000000332568.jpg,2,10,698360
the small cat is sitting inside a suitcase,cat,suitcase,000000064423.jpg,3,8,607155
A brown dog laying next to a bottle of wine,bottle,dog,000000094823.jpg,8,3,503838
A dog by a bench in a park ,bench,dog,000000016377.jpg,5,2,681799
a square glass bowl and some carrots a fork and drink,fork,bowl,000000354645.jpg,9,4,613799
A young boy eats pizza from a plate.,pizza,plate,000000327536.jpg,5,8,684434
a white bird walking by a canoe boat in the water,boat,bird,000000484002.jpg,8,3,429377
A girl holding a bird in the mirror to see it's reflection.,mirror,bird,000000025515.jpg,8,5,26184
A bus and bicycle in a parking bay ,bicycle,bus,000000184123.jpg,4,2,608798
An open laptop computer sitting next to a musical keyboard.,laptop,keyboard,000000410033.jpg,3,11,529125
A black bear running away from a black and white dog.,bear,dog,000000522225.jpg,3,11,105448
A tractor sits on the back of a large truck in front of a clock tower. ,clock,truck,000000184477.jpg,15,10,208216
A dark cat sits under a blue umbrella.,cat,umbrella,000000123916.jpg,3,8,407399
A woman and two boys lay on a bed with a white dog and look at a magazine.,bed,dog,000000445495.jpg,9,13,265414
Some dress shirt along with a tie and a suit hanged on a door knob. ,tie,door,000000229052.jpg,7,14,538818
The dog caught the Frisbee in the event outside.,frisbee,dog,000000399031.jpg,5,2,571993
A cat laying under a blanket on a bed.,bed,cat,000000471988.jpg,9,2,229370
Broccoli and shrimp in a white bowl with chopsticks.,bowl,broccoli,000000371841.jpg,7,1,192705
A cat rubbing its body against an wooden oval mirror. ,cat,mirror,000000189966.jpg,2,10,727747
A slice of a six layer rainbow cake on a white plate.,cake,plate,000000434623.jpg,8,12,601630
A meal with a large sandwich and onion rings on a plate.,sandwich,plate,000000022072.jpg,6,12,210874
The boy is riding the bus sitting in the window seat. ,bus,window,000000155160.jpg,6,10,397581
A group of people on a small boat with umbrella.,umbrella,boat,000000356622.jpg,10,8,353221
A person on a motor bike and a car on the street.,person,car,000000378502.jpg,2,9,424367
A cat that is laying down on a desk.,cat,desk,000000524130.jpg,2,9,778647
A person wearing a tie posing for a photo.,tie,person,000000261051.jpg,5,2,286151
A woman holds a plate with rainbow cake.,cake,plate,000000059547.jpg,8,5,709946
A miniature laptop and coffee cup on top of a box. ,cup,laptop,000000304958.jpg,6,3,164241
plant sitting on computer desk near a bright window,desk,window,000000463132.jpg,6,10,333126
A keyboard and monitor are sitting on a desk.,desk,keyboard,000000425359.jpg,9,2,451920
A white train car that has been painted on.,train,car,000000406077.jpg,3,4,45171
a blue bird with a black face sitting on a plate,bird,plate,000000197915.jpg,3,11,545357
A man sitting in a chair petting a dog.,chair,dog,000000442875.jpg,6,9,668572
Whit cat laying on the hood of a car.,cat,car,000000040359.jpg,2,9,39244
A bedroom with a wood floor and four post bed that has a sliding door leading to a patio with a view of the water.,bed,door,000000075458.jpg,10,15,144747
A plate of food that has a sandwich and some potato wedges on it.,sandwich,plate,000000530599.jpg,8,2,822385
A dog sits in the window display of a store,dog,window,000000378662.jpg,2,6,710494
a reflection of a dog sticking his head out the window ,dog,window,000000215223.jpg,5,11,747810
A man reading a book on a bed next to a stuffed animal.,bed,book,000000024457.jpg,8,5,823203
A big bright orange bus in the street.,orange,bus,000000178242.jpg,4,5,244051
A person jumping and doing a skateboard trick.,person,skateboard,000000008772.jpg,2,7,745732
Two atvs loaded in the bed of a white truck. ,bed,truck,000000501286.jpg,7,11,88008
A cat stretching on a blue bench near a red brick wall.,cat,bench,000000535679.jpg,2,7,698525
"A cluttered room with television, chair, table, and large window.",chair,window,000000401703.jpg,8,14,816189
A young boy riding a train while hanging his head out of the window.,train,window,000000162965.jpg,6,14,4007
A small dog carries a frisbee in its mouth,frisbee,dog,000000030646.jpg,6,3,318616
A bicycle that has a rear view mirror on it.,mirror,bicycle,000000086135.jpg,8,2,562885
A plate with a sandwich and french fries with a drink in a glass.,sandwich,plate,000000059497.jpg,5,2,724583
A cat sitting in a chair pulled up to a table.,chair,cat,000000026942.jpg,6,2,326052
A sandwich sitting on top of a pan next to a knife.,sandwich,knife,000000056430.jpg,2,12,530941
an orange truck parked in a parking lot,orange,truck,000000126687.jpg,2,3,29566
A driver and another person pose beside a motorcycle.,motorcycle,person,000000484279.jpg,9,5,742724
A bed in a bedroom sitting underneath a window.,bed,window,000000525913.jpg,2,9,106384
"A living room with a TV, black ottoman, and a couch.",couch,tv,000000379241.jpg,13,6,147865
The teddy bear is facing toward the computer keyboard.,bear,keyboard,000000388481.jpg,3,10,4187
"A hotel bathroom with a sink, toilet, and towels. ",toilet,sink,000000458592.jpg,8,6,28824
"A cup, vase with flower and a wine glass on the table",cup,vase,000000520842.jpg,2,4,556285
A man holds up high a kite next to a bicycle,bicycle,kite,000000127074.jpg,11,7,516379
A city bus with a car and several people in a city,bus,car,000000127520.jpg,3,6,798566
A desk with several papers and a laptop on it.,desk,laptop,000000253498.jpg,2,8,230395
A flat screen TV sitting on top of a wooden desk.,tv,desk,000000566583.jpg,4,11,497745
A yellow car with a surfboard tied to the roof,surfboard,car,000000058987.jpg,6,3,91111
A train station with a large clock on the front of the building.,train,clock,000000214527.jpg,2,7,150783
"A den with a couch, chair and stairwell that curves upward.",couch,chair,000000151848.jpg,5,7,550844
Pepperoni and olive pizza faces on a paper plate,pizza,plate,000000268866.jpg,4,9,163737
a dog jumping in the air with a frisbee in its mouth,frisbee,dog,000000415723.jpg,9,2,420203
A person taking a selfie in front of a large mirror.,person,mirror,000000264805.jpg,2,11,768951
"The brown, black, and white dog looks at it's reflection in the mirror.",mirror,dog,000000483871.jpg,16,8,433030
An apple sitting on top of a table next to an orange.,orange,apple,000000102811.jpg,12,2,556872
A couple riding an elephant while sitting under an umbrella,elephant,umbrella,000000436031.jpg,5,10,35176
A person walking down a rain covered road under a black umbrella.,person,umbrella,000000569353.jpg,2,12,88212
a black and blue couch a light and a bed without sheets,couch,bed,000000398225.jpg,5,10,828340
Cat perched on edge of toilet seat with head stuck inside.,cat,toilet,000000295831.jpg,1,6,255283
A mini car mouse is sitting on a mousepad with the headlights on.,mouse,car,000000077811.jpg,4,3,144344
"a white bathroom with a sink, mirror and trash basket.",mirror,sink,000000077842.jpg,8,6,60269
A person chasing their red kite through a park.,person,kite,000000065008.jpg,2,6,267413
A bagel sandwich and some chips rest on a plate.,sandwich,plate,000000345881.jpg,3,10,62477
A stuffed bear sitting on a mason jar near a window.,bear,window,000000560004.jpg,3,11,547188
A person in winter clothes is flying a kite in a snowy park covered in footprints.,person,kite,000000190084.jpg,2,9,84735
A very nice looking motorcycle parked by a truck.,motorcycle,truck,000000436559.jpg,5,9,568592
A primitive toilet has only places to put your feet and a canister with a cup in it .,cup,toilet,000000418818.jpg,17,3,169760
a man sitting in a chair eating and a dog watching,chair,dog,000000364994.jpg,6,10,25296
A person painting colorful images on a vase.,person,vase,000000359801.jpg,2,8,665155
"A bathroom with a toilet, sink and various cabinets.",toilet,sink,000000429221.jpg,5,7,296421
A person kneeling down next to a  white horse.,horse,person,000000193401.jpg,10,2,574902
A group of people hunched on the ground while a dog catches a frisbee above them and other people watch.,frisbee,dog,000000519218.jpg,15,12,251367
A view of the mountains is shown from an airplane window.,airplane,window,000000401783.jpg,10,11,119277
A girl is laying on a bed with a teddy bear.,bed,bear,000000158077.jpg,7,11,525200
An orange and white train traveling along a loading platform.,orange,train,000000565996.jpg,2,5,607991
a sandwich and some chicken on a plate,sandwich,plate,000000315181.jpg,2,8,800247
A black and white cat lying on a bed.,bed,cat,000000433202.jpg,9,5,819684
A plate topped with piled of food including broccoli.,broccoli,plate,000000516114.jpg,9,2,581859
An old man laying in a bed while using a laptop computer.,bed,laptop,000000160712.jpg,7,11,50423
A tan stuffed teddy bear sits on a blue couch beside a red checkered pillow.,couch,bear,000000201949.jpg,10,5,90890
A baby sits in his highchair and looks at a decorated birthday cake.,chair,cake,000000421564.jpg,7,14,503796
A cat that is standing on a ledge looking at a plate.,cat,plate,000000199822.jpg,2,12,456062
German shepherd dog in mid-leap catching a thrown frisbee.,frisbee,dog,000000394303.jpg,11,3,357683
A white and gray bird perches in a person's hand to eat.,person,bird,000000287270.jpg,10,5,523172
Plate of hot sliced pizza ready for consumption.,pizza,plate,000000536996.jpg,5,1,581391
A teddy bear in a white gown hanging from a door hook,door,bear,000000192862.jpg,11,3,17535
A man is bottle feeding an elephant calf.,elephant,bottle,000000066406.jpg,7,4,91345
A slice of chocolate cake is displayed on a plate.,cake,plate,000000311358.jpg,5,10,544488
the elephant is riding in a truck  on the road,elephant,truck,000000189770.jpg,2,7,636518
A white pickup truck with a full bed.,bed,truck,000000563658.jpg,8,4,483628
A person is feeding a banana to a young girl.,person,banana,000000090516.jpg,2,6,382612
"A plate of stake, potatoes, broccoli and mushrooms.",broccoli,plate,000000547966.jpg,8,2,539344
"A couch, TV and kiddy pool are sitting on a curb.",couch,tv,000000443240.jpg,2,4,815488
A truck on a street with a car on the back.,truck,car,000000374174.jpg,2,8,308770
A person sitting on a concrete bench with a mask on.,person,bench,000000310511.jpg,2,7,556521
A woman in a field of flowers holding an orange umbrella.,orange,umbrella,000000358171.jpg,10,11,117632
"Asian noodle soup, served in a bowl with a spoon and chopsticks.",spoon,bowl,000000247124.jpg,11,8,634499
A television playing Battlestar Galactica with pizza on a plate on the floor.,pizza,plate,000000310059.jpg,9,12,361590
a person legs and feet are seen while sitting on a park bench ,person,bench,000000330637.jpg,2,13,810015
three kids sitting together on a bed with one of them holding onto a teddy bear,bed,bear,000000052901.jpg,7,16,89309
The guy on the skateboard is in the opposite lane from the bus.,bus,skateboard,000000530653.jpg,13,5,398801
A toddler sitting on a suitcase looks at a picture book.,suitcase,book,000000488980.jpg,6,11,54424
A person on the floor in front of a refrigerator,person,refrigerator,000000361391.jpg,2,10,605958
A slice of pepperoni and sausage pizza and a drink in a disposable cup.,cup,pizza,000000355919.jpg,14,7,682579
A person riding a motorcycle with a helmet on in the middle of the desert,motorcycle,person,000000126433.jpg,5,2,824879
A man standing next to a woman leaning on the flat bed of a truck.,bed,truck,000000178411.jpg,12,15,274582
Toilet bowl sitting on the side of the road filled with papers. ,bowl,toilet,000000093519.jpg,2,1,92969
A dog is wearing a hat while sitting on a table.,hat,dog,000000561887.jpg,6,2,206943
